Age	Attrition	BusinessTravel	Department	DistanceFromHome	Education	EnvironmentSatisfaction	JobRole	MonthlyIncome	OverTime	PerformanceRating	TotalWorkingYears	YearsAtCompany
52	Yes	Travel_Rarely	Research & Development	8	4	3	Research Scientist	4941	No	3	11	8
27	No	Travel_Rarely	Research & Development	5	3	3	Research Scientist	2478	Yes	3	4	4
32	No	Travel_Rarely	Sales	8	2	3	Sales Executive	5228	Yes	3	13	13
27	No	Travel_Rarely	Sales	2	3	4	Sales Executive	4478	Yes	3	5	5
31	No	Travel_Rarely	Sales	7	3	4	Sales Executive	7547	No	3	13	7
32	No	Travel_Rarely	Research & Development	2	4	1	Research Scientist	5055	No	3	10	7
28	Yes	Travel_Rarely	Research & Development	2	4	1	Research Scientist	3464	Yes	3	5	3
30	No	Travel_Rarely	Research & Development	28	2	4	Research Scientist	5775	No	3	11	10
31	No	Travel_Frequently	Research & Development	7	2	3	Manufacturing Director	8943	No	4	10	10
39	No	Travel_Frequently	Research & Development	7	2	3	Manager	19272	No	3	21	21
39	Yes	Travel_Rarely	Sales	3	2	4	Sales Executive	5238	Yes	3	12	1
33	No	Travel_Frequently	Sales	10	3	2	Sales Executive	4682	No	3	9	7
47	No	Travel_Rarely	Research & Development	5	5	4	Research Director	18300	No	3	21	3
43	No	Travel_Frequently	Research & Development	10	4	3	Laboratory Technician	5257	No	3	9	9
27	No	Non-Travel	Sales	1	1	3	Sales Executive	6349	Yes	3	6	5
54	No	Travel_Frequently	Research & Development	20	4	4	Research Scientist	4869	No	3	20	4
43	No	Travel_Rarely	Research & Development	7	3	3	Healthcare Representative	9985	No	3	10	1
45	No	Travel_Rarely	Research & Development	8	4	4	Research Scientist	3697	No	3	12	10
40	No	Travel_Rarely	Sales	1	2	2	Sales Executive	7457	Yes	4	6	4
29	Yes	Travel_Rarely	Research & Development	8	4	2	Laboratory Technician	2119	Yes	3	7	7
29	No	Travel_Rarely	Research & Development	9	5	2	Laboratory Technician	3983	No	3	4	3
30	No	Travel_Rarely	Sales	5	3	4	Sales Executive	6118	No	3	10	10
27	No	Travel_Rarely	Sales	8	4	2	Sales Executive	6214	No	3	8	8
37	No	Travel_Rarely	Research & Development	5	2	4	Manufacturing Director	6347	No	3	8	6
38	No	Travel_Rarely	Research & Development	15	2	3	Research Director	11510	Yes	3	12	11
31	No	Travel_Rarely	Research & Development	7	4	3	Manufacturing Director	7143	Yes	3	11	11
29	No	Travel_Rarely	Sales	10	1	4	Sales Executive	8268	Yes	3	7	7
35	No	Travel_Rarely	Research & Development	5	4	3	Manufacturing Director	8095	No	3	17	16
23	No	Travel_Rarely	Research & Development	26	1	3	Research Scientist	2904	No	3	4	4
41	No	Travel_Rarely	Research & Development	6	3	4	Manufacturing Director	6032	Yes	3	8	5
47	No	Travel_Frequently	Sales	4	1	2	Sales Representative	2976	No	3	5	0
42	No	Travel_Rarely	Research & Development	23	5	1	Research Director	15992	No	3	16	1
29	No	Non-Travel	Sales	2	3	4	Sales Executive	4649	No	3	4	4
42	No	Travel_Rarely	Human Resources	2	1	3	Human Resources	2696	Yes	3	4	3
32	No	Travel_Rarely	Research & Development	2	3	3	Laboratory Technician	2370	No	3	8	8
48	No	Travel_Rarely	Sales	29	1	1	Manager	12504	No	4	15	0
37	No	Travel_Rarely	Research & Development	6	3	3	Research Scientist	5974	Yes	3	13	7
30	No	Non-Travel	Sales	25	2	4	Sales Executive	4736	Yes	3	4	2
26	No	Travel_Rarely	Sales	1	3	3	Sales Executive	5296	No	3	8	8
42	No	Travel_Rarely	Research & Development	2	4	1	Healthcare Representative	6781	No	4	14	1
21	Yes	Travel_Frequently	Sales	1	1	1	Sales Representative	2174	Yes	3	3	3
36	No	Non-Travel	Sales	1	5	4	Sales Executive	6653	No	3	7	1
36	No	Travel_Frequently	Sales	3	4	1	Sales Executive	9699	No	3	16	13
57	No	Travel_Rarely	Research & Development	1	4	4	Healthcare Representative	6755	No	3	15	3
40	No	Travel_Rarely	Research & Development	10	4	4	Laboratory Technician	2213	Yes	3	10	7
21	No	Non-Travel	Sales	9	2	1	Sales Representative	2610	No	4	3	3
33	Yes	Travel_Rarely	Sales	5	3	4	Sales Representative	2851	Yes	3	1	1
37	No	Travel_Rarely	Research & Development	10	3	3	Laboratory Technician	3452	No	4	17	5
46	No	Non-Travel	Research & Development	7	4	3	Manufacturing Director	5258	No	3	7	1
41	Yes	Travel_Frequently	Sales	4	3	1	Sales Executive	9355	No	3	8	8
50	No	Travel_Rarely	Research & Development	10	3	4	Healthcare Representative	10496	No	3	20	4
40	Yes	Travel_Rarely	Sales	22	2	3	Sales Executive	6380	Yes	3	8	6
31	No	Travel_Rarely	Research & Development	9	4	3	Research Scientist	2657	Yes	3	3	2
21	Yes	Travel_Rarely	Sales	12	3	3	Sales Representative	2716	No	3	1	1
29	No	Travel_Rarely	Research & Development	23	3	4	Research Scientist	2201	No	3	6	3
35	No	Travel_Rarely	Research & Development	9	4	3	Healthcare Representative	6540	No	3	10	1
27	No	Travel_Rarely	Research & Development	1	2	4	Laboratory Technician	3816	No	3	5	5
28	No	Travel_Rarely	Sales	9	4	2	Sales Executive	5253	No	3	7	7
49	No	Travel_Rarely	Research & Development	7	3	2	Healthcare Representative	10965	No	4	26	5
51	No	Travel_Rarely	Sales	14	2	3	Sales Executive	4936	No	3	18	7
36	No	Travel_Rarely	Research & Development	2	3	4	Research Scientist	2543	No	3	6	2
34	Yes	Non-Travel	Sales	19	3	1	Sales Executive	5304	Yes	3	9	5
55	No	Travel_Rarely	Research & Development	2	3	3	Manager	16659	Yes	3	30	5
24	No	Travel_Rarely	Sales	10	4	4	Sales Executive	4260	Yes	3	5	5
30	No	Travel_Rarely	Sales	2	1	3	Sales Representative	2476	No	3	1	1
26	Yes	Travel_Frequently	Research & Development	3	1	3	Research Scientist	3102	No	4	7	6
22	No	Travel_Rarely	Research & Development	11	3	1	Research Scientist	2244	No	3	2	2
36	No	Travel_Rarely	Sales	2	2	2	Sales Executive	7596	No	3	10	10
30	Yes	Travel_Frequently	Research & Development	4	3	3	Research Scientist	2285	Yes	4	3	1
37	No	Travel_Rarely	Research & Development	14	3	4	Laboratory Technician	3034	No	3	18	18
40	No	Travel_Rarely	Sales	2	2	4	Sales Executive	5715	No	3	8	5
42	No	Travel_Rarely	Research & Development	1	4	2	Laboratory Technician	2576	No	3	8	5
37	No	Travel_Rarely	Research & Development	10	4	3	Manufacturing Director	4197	Yes	3	18	1
43	No	Travel_Rarely	Research & Development	12	3	1	Research Director	14336	No	3	25	25
40	No	Travel_Rarely	Research & Development	2	3	2	Laboratory Technician	3448	No	4	20	1
54	No	Travel_Rarely	Research & Development	5	2	1	Research Director	19406	No	3	24	4
34	No	Non-Travel	Sales	4	4	3	Sales Executive	6538	No	3	6	3
31	No	Travel_Rarely	Research & Development	7	2	2	Manufacturing Director	4306	No	3	13	13
43	No	Travel_Frequently	Research & Development	21	3	4	Laboratory Technician	2258	No	4	8	3
43	No	Travel_Rarely	Research & Development	8	4	3	Healthcare Representative	4522	Yes	3	8	5
25	No	Travel_Rarely	Sales	4	2	2	Sales Executive	4487	Yes	3	5	5
37	No	Non-Travel	Research & Development	25	5	2	Research Scientist	4449	Yes	3	15	13
31	No	Travel_Rarely	Research & Development	1	2	4	Laboratory Technician	2218	No	3	4	4
39	No	Travel_Frequently	Research & Development	1	1	2	Manager	19197	Yes	3	21	21
56	No	Travel_Frequently	Sales	6	3	3	Sales Executive	13212	No	3	36	7
30	No	Travel_Rarely	Sales	12	3	2	Sales Executive	6577	No	3	6	5
41	No	Travel_Rarely	Sales	1	3	2	Sales Executive	8392	No	3	10	10
28	No	Travel_Rarely	Research & Development	17	2	3	Laboratory Technician	4558	No	3	10	10
25	Yes	Travel_Rarely	Research & Development	3	3	1	Laboratory Technician	4031	No	3	6	2
52	No	Travel_Rarely	Research & Development	3	3	4	Manufacturing Director	7969	Yes	3	28	5
45	No	Travel_Rarely	Research & Development	10	2	1	Research Scientist	2654	No	4	8	2
52	No	Travel_Rarely	Research & Development	4	2	4	Manager	16555	No	3	31	5
42	No	Travel_Frequently	Research & Development	29	2	1	Research Scientist	4556	No	3	19	5
30	No	Travel_Rarely	Research & Development	2	3	3	Manufacturing Director	6091	No	4	11	5
60	No	Travel_Rarely	Research & Development	7	3	1	Manager	19566	No	3	33	29
46	No	Travel_Rarely	Research & Development	18	3	3	Manufacturing Director	4810	No	3	19	10
42	No	Travel_Frequently	Research & Development	28	4	4	Healthcare Representative	4523	No	3	7	6
24	Yes	Travel_Rarely	Sales	1	1	1	Sales Representative	3202	Yes	3	6	5
34	Yes	Travel_Frequently	Sales	6	2	4	Sales Representative	2351	No	3	3	2
38	No	Travel_Frequently	Research & Development	2	2	4	Laboratory Technician	1702	Yes	4	1	1
40	No	Travel_Rarely	Sales	2	4	3	Manager	18041	No	3	21	20
26	No	Travel_Rarely	Research & Development	23	3	1	Research Scientist	2886	No	4	3	3
30	No	Non-Travel	Research & Development	3	3	3	Laboratory Technician	2097	No	3	9	5
29	No	Travel_Rarely	Research & Development	3	4	2	Research Director	11935	No	3	10	10
29	Yes	Travel_Rarely	Research & Development	25	5	3	Research Scientist	2546	No	3	6	2
19	Yes	Travel_Rarely	Human Resources	2	2	1	Human Resources	2564	No	3	1	1
30	No	Non-Travel	Sales	22	4	3	Sales Executive	8412	No	3	10	9
57	No	Travel_Rarely	Sales	29	3	1	Manager	14118	No	3	32	1
50	No	Travel_Rarely	Research & Development	29	4	2	Manager	17046	No	3	28	27
30	No	Non-Travel	Research & Development	2	3	3	Laboratory Technician	2564	No	3	12	11
60	No	Travel_Frequently	Sales	28	3	3	Sales Executive	10266	No	3	22	18
47	No	Travel_Rarely	Research & Development	2	2	1	Manufacturing Director	5070	No	3	20	5
46	No	Travel_Rarely	Research & Development	2	3	1	Research Director	17861	No	3	26	3
35	No	Travel_Rarely	Research & Development	22	3	4	Laboratory Technician	4230	No	3	6	5
54	No	Travel_Rarely	Research & Development	8	4	3	Laboratory Technician	3780	No	3	19	1
34	No	Travel_Rarely	Research & Development	2	4	4	Research Scientist	2768	No	3	14	7
46	No	Travel_Rarely	Sales	10	3	3	Sales Executive	9071	Yes	3	15	3
31	No	Travel_Rarely	Research & Development	9	1	3	Manufacturing Director	10648	No	4	13	13
33	Yes	Travel_Rarely	Research & Development	15	1	2	Manager	13610	Yes	3	15	7
33	Yes	Travel_Rarely	Research & Development	10	1	1	Laboratory Technician	3408	No	3	8	4
30	No	Travel_Rarely	Sales	7	1	4	Sales Representative	2983	No	3	4	3
35	No	Travel_Rarely	Research & Development	16	3	4	Healthcare Representative	7632	Yes	3	10	8
31	Yes	Travel_Frequently	Research & Development	20	3	1	Healthcare Representative	9824	No	3	12	1
34	Yes	Travel_Frequently	Human Resources	23	3	2	Human Resources	9950	Yes	3	11	3
42	No	Travel_Frequently	Research & Development	5	2	2	Laboratory Technician	2093	No	3	8	2
36	No	Non-Travel	Sales	10	4	2	Sales Executive	9980	No	3	10	10
22	Yes	Travel_Frequently	Research & Development	4	1	3	Laboratory Technician	3894	No	3	4	2
48	No	Travel_Rarely	Sales	2	5	2	Sales Executive	4051	No	3	14	9
55	No	Travel_Rarely	Sales	18	5	1	Manager	16835	No	4	37	10
41	No	Non-Travel	Sales	10	2	4	Sales Executive	6230	No	3	16	14
35	No	Travel_Rarely	Sales	1	3	2	Sales Executive	4717	No	3	15	11
40	No	Travel_Rarely	Research & Development	6	3	2	Manufacturing Director	13237	No	3	22	20
39	No	Travel_Frequently	Research & Development	8	1	3	Laboratory Technician	3755	No	3	8	8
31	No	Travel_Rarely	Sales	2	1	2	Sales Executive	6582	Yes	3	10	6
42	No	Travel_Rarely	Research & Development	24	3	4	Manufacturing Director	7406	Yes	4	10	10
45	No	Travel_Rarely	Sales	2	3	4	Sales Executive	4805	No	3	9	8
26	Yes	Travel_Frequently	Human Resources	17	4	2	Human Resources	2741	Yes	3	8	7
29	No	Travel_Rarely	Research & Development	19	3	4	Manufacturing Director	4262	No	3	8	3
33	No	Travel_Rarely	Research & Development	1	5	1	Research Director	16184	No	3	10	6
31	No	Travel_Rarely	Sales	7	3	3	Manager	11557	No	4	10	5
18	Yes	Travel_Frequently	Sales	5	3	2	Sales Representative	1878	Yes	3	0	0
40	No	Non-Travel	Sales	28	3	3	Sales Executive	10932	No	3	20	1
41	No	Non-Travel	Research & Development	2	4	1	Healthcare Representative	6811	Yes	3	10	8
26	No	Travel_Rarely	Sales	29	2	1	Sales Executive	4306	No	3	8	0
35	No	Travel_Rarely	Sales	1	3	1	Sales Executive	4859	No	3	5	5
34	No	Travel_Rarely	Sales	21	4	4	Sales Executive	5337	No	3	10	10
26	Yes	Travel_Rarely	Research & Development	24	3	3	Laboratory Technician	2340	Yes	3	1	1
37	No	Travel_Rarely	Research & Development	1	3	2	Manufacturing Director	7491	No	3	12	6
46	No	Travel_Frequently	Research & Development	18	1	1	Healthcare Representative	10527	No	3	28	2
41	No	Travel_Rarely	Sales	2	5	2	Manager	16595	No	3	22	18
37	No	Non-Travel	Sales	9	4	1	Sales Executive	8834	No	3	9	9
52	No	Travel_Rarely	Research & Development	6	2	4	Research Scientist	5577	Yes	3	18	10
32	Yes	Non-Travel	Sales	11	4	4	Sales Executive	4707	No	3	6	4
24	No	Travel_Frequently	Sales	24	3	4	Sales Representative	2400	No	3	3	2
38	No	Travel_Rarely	Research & Development	10	3	3	Healthcare Representative	9824	No	3	18	1
37	No	Travel_Rarely	Research & Development	1	4	2	Manufacturing Director	6447	No	3	8	6
49	No	Travel_Rarely	Research & Development	18	4	4	Research Director	19502	Yes	3	31	31
24	No	Travel_Rarely	Research & Development	23	3	2	Research Scientist	2725	Yes	3	6	6
26	No	Travel_Rarely	Sales	28	2	1	Sales Executive	6272	No	4	6	5
24	No	Travel_Rarely	Research & Development	17	2	4	Laboratory Technician	2127	No	4	1	1
50	No	Travel_Frequently	Human Resources	3	3	1	Manager	18200	No	3	32	32
25	No	Travel_Rarely	Sales	13	1	2	Sales Representative	2096	No	3	7	7
24	Yes	Travel_Frequently	Research & Development	7	3	1	Laboratory Technician	2886	Yes	3	6	6
30	Yes	Travel_Frequently	Sales	12	4	2	Sales Representative	2033	No	3	1	1
34	No	Travel_Rarely	Research & Development	1	2	2	Research Scientist	3622	Yes	3	6	6
31	Yes	Travel_Rarely	Sales	13	4	2	Sales Executive	4233	No	3	9	3
35	No	Travel_Rarely	Research & Development	25	2	1	Laboratory Technician	3681	No	3	9	3
31	No	Travel_Rarely	Sales	6	4	1	Sales Executive	5460	No	4	13	7
27	No	Travel_Rarely	Research & Development	6	4	1	Research Scientist	2187	No	3	6	5
37	No	Travel_Rarely	Sales	2	3	4	Sales Executive	9602	Yes	3	17	3
20	No	Travel_Rarely	Research & Development	1	3	4	Research Scientist	2836	No	3	1	1
42	No	Travel_Rarely	Research & Development	2	4	3	Healthcare Representative	4089	No	3	10	10
43	No	Travel_Rarely	Research & Development	6	4	2	Research Director	16627	Yes	3	21	1
38	No	Travel_Rarely	Research & Development	1	1	3	Research Scientist	2619	No	3	8	0
43	No	Travel_Frequently	Research & Development	9	5	4	Laboratory Technician	5679	Yes	3	10	8
48	No	Travel_Rarely	Research & Development	1	4	4	Manager	15402	No	3	21	3
44	No	Travel_Rarely	Human Resources	1	4	1	Human Resources	5985	No	3	10	2
34	No	Travel_Rarely	Sales	14	3	3	Sales Representative	2579	Yes	3	8	8
27	Yes	Travel_Rarely	Sales	2	1	3	Sales Representative	3041	No	3	5	4
21	No	Travel_Rarely	Sales	22	1	3	Sales Representative	3447	No	3	3	3
44	No	Travel_Rarely	Research & Development	3	4	4	Manager	19513	Yes	3	26	2
22	No	Travel_Rarely	Research & Development	6	1	1	Research Scientist	2773	No	4	3	2
33	No	Travel_Rarely	Sales	8	4	3	Sales Executive	7104	No	3	6	5
32	No	Travel_Rarely	Research & Development	9	4	1	Research Scientist	6322	Yes	3	6	6
30	No	Travel_Frequently	Research & Development	3	3	3	Research Scientist	2083	No	4	1	1
53	No	Travel_Rarely	Sales	1	1	4	Sales Executive	8381	No	4	18	14
34	No	Travel_Rarely	Research & Development	1	5	2	Research Scientist	2691	No	3	10	10
45	Yes	Travel_Frequently	Sales	26	4	1	Sales Executive	4286	No	3	5	1
26	No	Travel_Rarely	Research & Development	6	3	3	Laboratory Technician	2659	Yes	3	3	3
37	No	Travel_Rarely	Research & Development	3	3	3	Manufacturing Director	9434	No	3	10	10
29	No	Travel_Rarely	Sales	3	2	2	Sales Executive	5561	No	3	6	6
35	No	Travel_Rarely	Research & Development	6	4	2	Research Scientist	6646	No	3	17	17
33	No	Travel_Frequently	Research & Development	6	3	3	Healthcare Representative	7725	No	4	15	13
54	No	Travel_Rarely	Human Resources	19	4	3	Human Resources	10725	No	3	16	9
36	No	Travel_Rarely	Research & Development	9	2	2	Manufacturing Director	8847	Yes	3	13	3
27	No	Travel_Rarely	Research & Development	3	4	1	Research Scientist	2045	No	3	5	4
20	Yes	Travel_Rarely	Research & Development	10	1	4	Research Scientist	1009	Yes	3	1	1
33	Yes	Travel_Frequently	Research & Development	3	3	1	Research Scientist	3348	Yes	3	10	10
35	No	Non-Travel	Research & Development	3	3	3	Laboratory Technician	1281	No	3	1	1
23	No	Travel_Rarely	Research & Development	4	3	1	Research Scientist	2819	No	3	5	3
25	No	Travel_Rarely	Sales	8	3	4	Sales Executive	4851	No	4	4	3
38	No	Travel_Rarely	Sales	7	4	4	Sales Executive	4028	No	4	8	7
29	No	Travel_Frequently	Research & Development	1	4	2	Research Scientist	2720	No	3	10	10
48	No	Travel_Rarely	Sales	2	1	2	Sales Executive	8120	No	3	12	2
27	No	Travel_Frequently	Sales	3	1	4	Sales Executive	4647	Yes	4	6	6
37	No	Travel_Rarely	Research & Development	10	2	4	Research Scientist	4680	No	3	4	1
50	No	Travel_Rarely	Research & Development	28	1	4	Laboratory Technician	3221	Yes	3	20	20
34	No	Travel_Rarely	Research & Development	9	3	4	Healthcare Representative	8621	No	3	9	8
24	Yes	Travel_Rarely	Sales	3	2	1	Sales Executive	4577	No	3	4	2
39	No	Travel_Rarely	Research & Development	2	4	4	Healthcare Representative	4553	No	3	20	20
32	No	Travel_Rarely	Sales	10	3	4	Sales Executive	5396	No	3	10	10
50	Yes	Travel_Frequently	Sales	8	2	2	Sales Executive	6796	Yes	3	18	4
38	No	Travel_Rarely	Research & Development	1	4	2	Healthcare Representative	7625	No	3	10	9
27	No	Travel_Rarely	Research & Development	1	2	3	Manufacturing Director	7412	No	3	9	9
32	No	Travel_Rarely	Research & Development	3	2	3	Research Director	11159	No	3	10	7
47	No	Travel_Rarely	Sales	14	4	4	Sales Executive	4960	No	3	20	7
40	No	Travel_Frequently	Sales	5	4	4	Sales Executive	10475	Yes	4	20	18
53	No	Travel_Rarely	Research & Development	7	3	3	Research Director	14814	No	3	32	5
41	No	Travel_Rarely	Human Resources	10	4	2	Manager	19141	No	3	23	21
60	No	Travel_Rarely	Sales	16	4	1	Sales Executive	5405	No	3	10	2
27	No	Travel_Frequently	Research & Development	10	2	4	Manufacturing Director	8793	No	4	9	9
41	No	Travel_Rarely	Human Resources	1	3	4	Manager	19189	No	3	22	22
50	No	Travel_Rarely	Sales	8	4	4	Sales Representative	3875	No	3	4	2
28	Yes	Travel_Rarely	Research & Development	1	2	1	Research Scientist	2216	Yes	3	10	7
36	No	Non-Travel	Research & Development	8	3	1	Research Director	11713	No	3	10	8
38	No	Travel_Rarely	Research & Development	1	3	3	Manufacturing Director	7861	Yes	3	10	1
44	No	Non-Travel	Research & Development	24	3	1	Laboratory Technician	3708	No	3	9	5
47	No	Travel_Frequently	Sales	3	3	4	Sales Executive	13770	Yes	3	28	22
30	No	Travel_Rarely	Sales	27	5	3	Sales Executive	5304	No	4	10	8
29	No	Travel_Rarely	Sales	10	3	3	Sales Representative	2642	No	3	1	1
42	Yes	Travel_Frequently	Research & Development	19	3	3	Research Scientist	2759	Yes	3	7	2
43	No	Travel_Frequently	Sales	15	3	4	Sales Executive	6804	No	3	7	2
34	No	Travel_Rarely	Research & Development	8	2	2	Healthcare Representative	6142	No	3	10	5
23	No	Travel_Rarely	Research & Development	9	1	2	Laboratory Technician	2500	No	3	5	4
39	No	Travel_Rarely	Human Resources	3	3	3	Human Resources	6389	No	3	12	8
56	No	Travel_Rarely	Research & Development	9	3	3	Healthcare Representative	11103	No	3	30	10
40	No	Travel_Rarely	Research & Development	2	1	4	Research Scientist	2342	Yes	4	5	4
27	No	Travel_Rarely	Research & Development	7	3	4	Healthcare Representative	6811	No	3	9	7
29	No	Travel_Rarely	Sales	10	3	4	Sales Representative	2297	No	3	2	2
53	No	Travel_Rarely	Research & Development	6	3	4	Laboratory Technician	2450	No	3	19	2
35	No	Non-Travel	Research & Development	2	4	4	Healthcare Representative	5093	No	3	16	1
32	No	Travel_Frequently	Research & Development	24	4	1	Laboratory Technician	5309	No	3	10	10
38	No	Travel_Rarely	Research & Development	2	5	4	Research Scientist	3057	Yes	3	6	1
34	No	Travel_Rarely	Research & Development	8	5	2	Manufacturing Director	5121	No	3	7	0
52	No	Travel_Rarely	Sales	3	4	3	Manager	16856	No	3	34	34
33	Yes	Travel_Rarely	Research & Development	1	4	4	Research Scientist	2686	Yes	3	10	10
25	No	Travel_Rarely	Sales	26	1	3	Sales Executive	6180	No	4	6	6
45	No	Travel_Rarely	Sales	2	2	2	Sales Representative	6632	No	3	9	8
23	No	Travel_Rarely	Research & Development	10	1	1	Research Scientist	3505	No	3	2	2
47	Yes	Travel_Frequently	Sales	27	2	2	Sales Executive	6397	Yes	3	8	5
34	No	Travel_Rarely	Sales	2	3	4	Sales Executive	6274	No	4	6	6
55	Yes	Travel_Rarely	Research & Development	2	3	4	Manager	19859	Yes	3	24	5
36	No	Non-Travel	Sales	8	4	1	Sales Executive	7587	No	3	10	10
52	No	Non-Travel	Research & Development	19	4	4	Research Scientist	4258	No	3	5	4
26	No	Travel_Frequently	Research & Development	1	2	1	Laboratory Technician	4364	No	3	5	2
29	No	Travel_Rarely	Research & Development	27	3	2	Healthcare Representative	4335	No	3	11	8
26	Yes	Travel_Rarely	Sales	8	3	4	Sales Executive	5326	No	3	6	4
34	No	Travel_Rarely	Research & Development	1	4	2	Research Scientist	3280	No	3	10	4
54	No	Travel_Rarely	Research & Development	19	4	4	Manufacturing Director	5485	Yes	3	9	5
27	No	Travel_Frequently	Sales	8	1	3	Sales Executive	4342	No	3	5	4
37	No	Travel_Rarely	Research & Development	10	1	4	Research Scientist	2782	Yes	3	6	5
38	No	Travel_Frequently	Research & Development	2	4	1	Manufacturing Director	5980	Yes	3	17	15
34	No	Travel_Rarely	Research & Development	2	4	3	Research Scientist	4381	No	3	6	6
35	No	Travel_Rarely	Sales	8	4	1	Sales Representative	2572	No	3	3	3
30	No	Travel_Rarely	Research & Development	1	3	4	Laboratory Technician	3833	No	4	7	2
40	No	Travel_Frequently	Research & Development	2	2	3	Healthcare Representative	4244	No	4	8	8
34	No	Travel_Rarely	Sales	8	2	3	Sales Executive	6500	No	3	6	3
42	No	Travel_Frequently	Research & Development	8	3	2	Manager	18430	No	3	24	24
23	Yes	Travel_Rarely	Research & Development	6	3	3	Laboratory Technician	1601	Yes	4	1	0
24	No	Non-Travel	Research & Development	9	3	3	Laboratory Technician	2694	No	3	1	1
52	No	Travel_Rarely	Research & Development	11	4	4	Laboratory Technician	3149	No	4	9	5
50	No	Travel_Rarely	Research & Development	2	3	3	Research Director	17639	No	3	30	4
29	Yes	Travel_Rarely	Research & Development	1	2	2	Laboratory Technician	2319	Yes	3	1	1
33	No	Travel_Rarely	Research & Development	7	3	3	Research Director	11691	No	3	14	13
33	Yes	Travel_Rarely	Sales	16	3	1	Sales Executive	5324	No	3	6	3
47	No	Travel_Rarely	Research & Development	2	2	3	Manager	16752	Yes	3	26	26
36	No	Travel_Rarely	Research & Development	1	3	3	Manufacturing Director	5228	No	3	10	9
29	No	Travel_Rarely	Research & Development	23	2	3	Research Scientist	2700	No	4	10	10
58	Yes	Travel_Rarely	Research & Development	2	4	4	Research Director	19246	Yes	3	40	31
35	No	Travel_Rarely	Research & Development	1	4	4	Research Scientist	2506	No	3	7	2
42	No	Travel_Rarely	Research & Development	1	2	4	Manufacturing Director	6062	Yes	3	8	4
28	Yes	Travel_Rarely	Research & Development	2	4	3	Research Scientist	4382	No	3	5	2
36	No	Travel_Rarely	Human Resources	13	3	3	Human Resources	2143	No	3	8	5
32	No	Travel_Rarely	Research & Development	4	3	3	Manufacturing Director	6162	No	3	14	14
40	No	Travel_Frequently	Research & Development	16	4	1	Laboratory Technician	5094	No	3	10	1
30	No	Travel_Rarely	Research & Development	2	3	3	Manufacturing Director	6877	Yes	4	12	0
45	No	Travel_Rarely	Research & Development	2	3	2	Research Scientist	2274	No	3	1	1
42	No	Travel_Rarely	Research & Development	29	3	2	Manufacturing Director	4434	No	3	10	9
38	No	Travel_Frequently	Research & Development	12	3	1	Healthcare Representative	6288	No	3	13	4
34	No	Travel_Frequently	Research & Development	16	4	3	Research Scientist	2553	No	3	6	5
49	Yes	Travel_Rarely	Sales	11	3	3	Sales Executive	7654	No	3	9	9
55	Yes	Travel_Rarely	Sales	2	1	3	Sales Executive	5160	No	3	12	9
43	No	Travel_Rarely	Research & Development	14	2	2	Research Director	17159	No	4	22	4
27	No	Travel_Rarely	Research & Development	5	1	3	Research Director	12808	Yes	3	9	9
35	No	Travel_Rarely	Research & Development	7	3	3	Manufacturing Director	10221	No	4	17	8
28	No	Travel_Rarely	Sales	2	4	2	Sales Executive	4779	Yes	4	8	8
34	No	Travel_Rarely	Human Resources	3	2	3	Human Resources	3737	No	3	4	3
26	Yes	Travel_Frequently	Research & Development	5	2	3	Research Scientist	2366	Yes	3	8	8
27	No	Non-Travel	Research & Development	3	3	4	Research Scientist	1706	No	3	0	0
51	No	Travel_Rarely	Sales	26	4	1	Manager	16307	No	3	29	20
44	No	Travel_Rarely	Research & Development	4	3	4	Healthcare Representative	5933	No	3	10	5
25	No	Travel_Rarely	Research & Development	2	1	1	Research Scientist	3424	No	3	6	4
33	No	Travel_Rarely	Sales	1	3	1	Sales Executive	4037	No	4	9	9
35	No	Travel_Rarely	Research & Development	27	1	3	Research Scientist	2559	No	3	6	6
36	No	Travel_Rarely	Sales	1	2	2	Sales Executive	6201	Yes	3	18	18
32	No	Travel_Rarely	Sales	13	4	2	Sales Executive	4403	No	3	8	5
30	No	Travel_Frequently	Research & Development	5	4	2	Research Scientist	3761	No	3	10	5
53	No	Travel_Rarely	Sales	7	2	1	Sales Executive	10934	Yes	3	35	5
45	No	Travel_Rarely	Sales	9	3	4	Sales Executive	10761	Yes	3	18	5
32	No	Travel_Rarely	Research & Development	8	2	3	Research Scientist	5175	No	3	9	5
52	No	Travel_Frequently	Research & Development	25	4	3	Manufacturing Director	13826	No	4	31	9
37	No	Travel_Rarely	Sales	16	4	4	Sales Executive	6334	No	3	9	1
28	No	Travel_Rarely	Human Resources	8	2	2	Human Resources	4936	No	3	6	5
22	No	Travel_Rarely	Research & Development	1	2	4	Manufacturing Director	4775	No	4	4	2
44	No	Travel_Rarely	Research & Development	8	4	1	Laboratory Technician	2818	Yes	4	10	3
42	No	Travel_Frequently	Research & Development	2	1	2	Research Scientist	2515	Yes	3	8	2
36	No	Travel_Rarely	Human Resources	8	3	1	Human Resources	2342	No	4	6	5
25	No	Travel_Rarely	Sales	3	1	3	Sales Executive	4194	Yes	3	5	5
35	No	Travel_Rarely	Research & Development	9	3	4	Manufacturing Director	10685	Yes	4	17	17
35	Yes	Travel_Frequently	Research & Development	25	4	4	Research Scientist	2022	Yes	3	10	10
32	No	Non-Travel	Research & Development	1	3	4	Laboratory Technician	2314	No	3	4	3
